municipio_ibge,soma,contagem
5211909,7200.0,3
5212501,7800.0,3
5213855,3000.0,1
5214408,3000.0,1
5215231,3000.0,1
5217401,3000.0,1
5217609,8400.0,1
5218300,3000.0,1
5219753,3000.0,1
5220454,8400.0,3
5221403,8400.0,1
5221858,12600.0,3
5300108,87900.0,30
