date,municipio_ibge,suicidios,obitos_totais,taxa_suicidio
2019-01-01,3171709,1,3,0.3333333333333333
2019-01-01,3200409,1,17,0.058823529411764705
2019-01-01,3200508,1,5,0.2
2019-01-01,3200607,1,48,0.020833333333333332
2019-01-01,3201100,1,9,0.1111111111111111
2019-01-01,3201209,4,102,0.0392156862745098
2019-01-01,3201308,1,194,0.005154639175257732
2019-01-01,3201506,2,67,0.029850746268656716
2019-01-01,3201902,2,25,0.08
2019-01-01,3202108,1,15,0.06666666666666667
2019-01-01,3202702,1,9,0.1111111111111111
2019-01-01,3203130,1,15,0.06666666666666667
2019-01-01,3204955,1,9,0.1111111111111111
2019-01-01,3205002,2,214,0.009345794392523364
2019-01-01,3205200,3,260,0.011538461538461539
2019-01-01,3205309,3,170,0.01764705882352941
2019-01-01,3300225,1,8,0.125
2019-01-01,3300506,1,18,0.05555555555555555
2019-01-01,3300704,1,140,0.007142857142857143
2019-01-01,3300803,1,36,0.027777777777777776
2019-01-01,3301009,1,321,0.003115264797507788
2019-01-01,3301702,3,624,0.004807692307692308
2019-01-01,3301850,1,37,0.02702702702702703
2019-01-01,3302403,1,115,0.008695652173913044
2019-01-01,3302601,2,28,0.07142857142857142
2019-01-01,3302700,1,122,0.00819672131147541
2019-01-01,3302858,1,136,0.007352941176470588
2019-01-01,3303203,1,145,0.006896551724137931
2019-01-01,3303401,2,141,0.014184397163120567
2019-01-01,3303500,2,581,0.0034423407917383822
2019-01-01,3303906,1,215,0.004651162790697674
2019-01-01,3304144,1,114,0.008771929824561403
2019-01-01,3304300,1,52,0.019230769230769232
2019-01-01,3304557,19,5206,0.0036496350364963502
2019-01-01,3304805,1,36,0.027777777777777776
2019-01-01,3304904,5,706,0.007082152974504249
2019-01-01,3305000,1,21,0.047619047619047616
2019-01-01,3305802,2,125,0.016
2019-01-01,3306305,1,169,0.005917159763313609
2019-01-01,3500105,1,32,0.03125
2019-01-01,3501608,2,121,0.01652892561983471
2019-01-01,3501905,2,53,0.03773584905660377
2019-01-01,3502804,2,151,0.013245033112582781
2019-01-01,3502903,1,26,0.038461538461538464
2019-01-01,3503307,1,70,0.014285714285714285
2019-01-01,3503802,1,21,0.047619047619047616
2019-01-01,3504107,1,106,0.009433962264150943
2019-01-01,3504206,1,11,0.09090909090909091
2019-01-01,3505203,2,24,0.08333333333333333
2019-01-01,3505609,1,13,0.07692307692307693
2019-01-01,3505708,2,175,0.011428571428571429
2019-01-01,3505807,1,13,0.07692307692307693
2019-01-01,3506003,2,237,0.008438818565400843
2019-01-01,3506607,1,13,0.07692307692307693
2019-01-01,3506805,1,10,0.1
2019-01-01,3507001,1,24,0.041666666666666664
2019-01-01,3507506,2,98,0.02040816326530612
2019-01-01,3509007,1,44,0.022727272727272728
2019-01-01,3509502,8,606,0.013201320132013201
2019-01-01,3509601,1,35,0.02857142857142857
2019-01-01,3510005,1,27,0.037037037037037035
2019-01-01,3510302,1,5,0.2
