municipio_ibge,soma,contagem
3116159,1200.0,1
3116605,2188.0,1
3116803,3000.0,1
3117207,3000.0,1
3117504,6000.0,1
3117702,13800.0,4
3117801,2400.0,1
3117876,4200.0,1
3117900,600.0,1
3118007,6000.0,1
3118205,1800.0,1
3118304,2618.0,3
3118403,9000.0,3
3118601,148526.0,50
3119104,12000.0,4
3119302,12300.0,5
3119401,25673.0,10
3119609,2220.0,1
3119708,1200.0,1
3120003,600.0,1
3120409,688.0,1
3120508,1200.0,1
3120805,3600.0,1
3120839,3000.0,1
3120870,6000.0,1
3120904,2359.0,1
3121100,3600.0,3
3121605,4063.0,2
3122306,26100.0,9
3122470,600.0,1
3123106,3000.0,1
3123205,2400.0,1
3123601,3931.0,2
3123700,371.0,1
3123858,3000.0,1
3124005,3300.0,2
3124104,14861.0,5
3124302,4438.0,2
3124500,1800.0,2
3124906,6000.0,2
3125101,300.0,1
3125705,7200.0,2
3126109,10200.0,3
3126802,3000.0,1
3126901,10490.0,3
3127008,2400.0,1
3127107,1200.0,1
3127206,3000.0,1
3127305,1718.0,1
3127354,6600.0,2
3127388,5941.0,3
3127701,173016.0,49
3128006,15559.0,3
3128402,1200.0,1
3128501,3842.0,2
3129509,3000.0,1
3129608,13070.0,4
3129657,1118.0,1
3129806,62177.0,18
3130002,4200.0,1
3130101,3242.0,2
3130408,1200.0,1
3130507,3000.0,1
3130556,6000.0,1
3130903,4800.0,2
3131208,6000.0,1
3131307,83891.0,26
3131703,31159.0,10
3131802,6000.0,1
3131901,11001.0,5
3132008,2228.0,1
3132404,45981.0,30
3132503,9331.0,5
3132909,3000.0,2
3133006,600.0,1
3133204,6000.0,1
3133303,3420.0,2
3133600,3000.0,2
3133758,3000.0,1
3133808,6809.0,3
3134004,300.0,1
3134202,19929.0,8
3134608,6900.0,3
3134905,3000.0,1
3135050,1020.0,1
3135076,3600.0,1
3135100,4200.0,2
3135209,2059.0,3
3135357,2529.0,2
3135456,3600.0,2
3135803,15000.0,3
3135902,1200.0,1
3136009,3000.0,1
3136207,15411.0,7
3136306,5400.0,2
3136603,6173.0,7
3136702,363449.0,191
3136801,797.0,1
3137007,1954.0,1
3137205,3000.0,1
3137403,1200.0,1
3137502,1200.0,1
3137601,36025.0,14
3137809,1200.0,1
3138203,7636.0,3
3138401,4200.0,1
3138609,4029.0,3
3138658,3000.0,1
3138674,3000.0,1
3138682,4200.0,1
3138708,3000.0,1
3139201,6900.0,2
3139409,4200.0,2
3139508,4200.0,2
3139607,6000.0,1
3139706,3000.0,1
3139805,5601.0,3
3139904,10200.0,7
3140001,332.0,2
3140100,720.0,1
3140159,6770.0,2
3140209,429.0,1
3140704,9470.0,3
3140803,10629.0,5
3140902,6000.0,1
3141009,1532.0,1
3141108,10881.0,4
3141504,3000.0,1
3141603,5617.0,3
3141801,8400.0,2
3142007,21960.0,13
3142254,7800.0,2
3143104,14700.0,6
3143203,3000.0,1
3143302,114349.0,52
3143401,3000.0,1
3143450,3600.0,1
3143609,6000.0,1
3143708,4833.0,4
3143906,23959.0,7
3144102,6000.0,1
3144201,3000.0,1
3144375,4200.0,2
3144607,300.0,1
3144706,300.0,1
3144805,40200.0,14
3145208,12000.0,3
3145901,7110.0,4
3146008,13800.0,5
3146107,11400.0,6
3146206,4582.0,2
3146602,470.0,1
3146701,300.0,1
3147006,18300.0,5
3147105,14220.0,4
3147204,5400.0,2
3147303,1800.0,1
3147402,2400.0,1
3147600,7200.0,3
3147907,9000.0,3
3147956,5155.0,2
3148004,12000.0,3
3148103,1888.0,2
3148202,6000.0,1
3148707,4200.0,1
3149101,6000.0,4
3149150,242.0,1
3149309,19500.0,7
3149408,1620.0,1
3149507,5188.0,2
3150208,3000.0,1
3150505,2220.0,1
3151008,1200.0,1
3151206,12217.0,5
3151305,1200.0,1
3151503,1500.0,2
3151800,52200.0,18
3152006,6000.0,2
3152105,5909.0,2
3152204,2400.0,2
3152303,4200.0,1
3152501,31800.0,18
3152600,1200.0,1
3152808,9600.0,4
3152907,6600.0,2
3153509,1800.0,1
3154150,1800.0,1
3154309,8400.0,2
3154408,4200.0,2
3154457,2400.0,2
3154606,104045.0,48
3154804,8400.0,2
3155405,4200.0,1
3155504,3600.0,1
3155801,420.0,1
3155900,6000.0,2
3156007,6000.0,1
3156700,34506.0,15
3156809,2371.0,3
3156908,6000.0,2
3157005,3300.0,1
3157203,4620.0,2
3157278,6177.0,4
3157377,1800.0,1
3157500,6000.0,2
3157807,72962.0,29
3158003,3000.0,1
3158201,2400.0,1
3158409,1200.0,1
3158953,12151.0,6
3159357,2400.0,1
3159506,632.0,1
3159605,6600.0,4
3159803,5870.0,4
3160009,1200.0,1
3160405,6000.0,1
3160454,1532.0,1
3160504,2058.0,2
3160702,35959.0,17
3160959,6000.0,1
3161007,300.0,1
