"Munic�pio";"Popula��o_residente"
"171700 PINDORAMA DO TOCANTINS";4447
"171720 PIRAQUE";3028
"171750 PIUM";7654
"171780 PONTE ALTA DO BOM JESUS";4596
"171790 PONTE ALTA DO TOCANTINS";8039
"171800 PORTO ALEGRE DO TOCANTINS";3139
"171820 PORTO NACIONAL";53010
"171830 PRAIA NORTE";8432
"171840 PRESIDENTE KENNEDY";3684
"171845 PUGMIL";2688
"171850 RECURSOLANDIA";4293
"171855 RIACHINHO";4645
"171865 RIO DA CONCEICAO";2130
"171870 RIO DOS BOIS";2834
"171875 RIO SONO";6478
"171880 SAMPAIO";4711
"171884 SANDOLANDIA";3375
"171886 SANTA FE DO ARAGUAIA";7512
"171888 SANTA MARIA DO TOCANTINS";3434
"171889 SANTA RITA DO TOCANTINS";2365
"171890 SANTA ROSA DO TOCANTINS";4829
"171900 SANTA TEREZA DO TOCANTINS";2866
"172000 SANTA TEREZINHA DO TOCANTINS";2529
"172010 SAO BENTO DO TOCANTINS";5324
"172015 SAO FELIX DO TOCANTINS";1585
"172020 SAO MIGUEL DO TOCANTINS";12139
"172025 SAO SALVADOR DO TOCANTINS";3082
"172030 SAO SEBASTIAO DO TOCANTINS";4805
"172049 SAO VALERIO";3960
"172065 SILVANOPOLIS";5403
"172080 SITIO NOVO DO TOCANTINS";9029
"172085 SUCUPIRA";1966
"172090 TAGUATINGA";16683
"172093 TAIPAS DO TOCANTINS";2148
"172097 TALISMA";2793
"172100 PALMAS";299127
"172110 TOCANTINIA";7545
"172120 TOCANTINOPOLIS";22870
"172125 TUPIRAMA";1891
"172130 TUPIRATINS";2671
"172208 WANDERLANDIA";11683
"172210 XAMBIOA";11540
"210005 ACAILANDIA";112445
"210010 AFONSO CUNHA";6524
"210015 AGUA DOCE DO MARANHAO";12571
"210020 ALCANTARA";22097
"210030 ALDEIAS ALTAS";26532
"210040 ALTAMIRA DO MARANHAO";8128
"210043 ALTO ALEGRE DO MARANHAO";27646
"210047 ALTO ALEGRE DO PINDARE";31919
"210050 ALTO PARNAIBA";11190
"210055 AMAPA DO MARANHAO";6962
"210060 AMARANTE DO MARANHAO";41435
"210070 ANAJATUBA";26803
"210080 ANAPURUS";15732
"210083 APICUM-ACU";17239
"210087 ARAGUANA";15426
"210090 ARAIOSES";46440
"210095 ARAME";32701
"210100 ARARI";29848
"210110 AXIXA";12130
"210120 BACABAL";104481
"210125 BACABEIRA";17055
"210130 BACURI";18582
"210135 BACURITUBA";5644
"210140 BALSAS";94887
"210150 BARAO DE GRAJAU";18820
"210160 BARRA DO CORDA";88082
"210170 BARREIRINHAS";62528
"210173 BELAGUA";7469
"210177 BELA VISTA DO MARANHAO";11209
"210180 BENEDITO LEITE";5632
"210190 BEQUIMAO";21280
"210193 BERNARDO DO MEARIM";6043
"210197 BOA VISTA DO GURUPI";8269
"210200 BOM JARDIM";41630
"210203 BOM JESUS DAS SELVAS";34028
"210207 BOM LUGAR";16294
"210210 BREJO";36397
"210215 BREJO DE AREIA";9188
"210220 BURITI";28678
"210230 BURITI BRAVO";23884
"210232 BURITICUPU";72358
"210235 BURITIRANA";15430
"210237 CACHOEIRA GRANDE";9431
"210240 CAJAPIO";11177
"210250 CAJARI";19379
"210255 CAMPESTRE DO MARANHAO";14374
"210260 CANDIDO MENDES";20178
"210270 CANTANHEDE";21995
"210275 CAPINZAL DO NORTE";10934
"210280 CAROLINA";24179
"210290 CARUTAPERA";23807
"210300 CAXIAS";164880
"210310 CEDRAL";10675
"210312 CENTRAL DO MARANHAO";8673
"210315 CENTRO DO GUILHERME";13458
"210317 CENTRO NOVO DO MARANHAO";21622
"210320 CHAPADINHA";79675
"210325 CIDELANDIA";14697
"210330 CODO";122859
"210340 COELHO NETO";49435
"210350 COLINAS";41178
"210355 CONCEICAO DO LAGO-ACU";16237
"210360 COROATA";65296
"210370 CURURUPU";32695
"210375 DAVINOPOLIS";12908
"210380 DOM PEDRO";23350
"210390 DUQUE BACELAR";11349
"210400 ESPERANTINOPOLIS";17241
"210405 ESTREITO";41946
"210407 FEIRA NOVA DO MARANHAO";8462
"210408 FERNANDO FALCAO";10360
"210409 FORMOSA DA SERRA NEGRA";19089
"210410 FORTALEZA DOS NOGUEIRAS";12631
"210420 FORTUNA";17768
"210430 GODOFREDO VIANA";11819
"210440 GONCALVES DIAS";17934
"210450 GOVERNADOR ARCHER";10840
"210455 GOVERNADOR EDISON LOBAO";18296
"210460 GOVERNADOR EUGENIO BARROS";14609
"210462 GOVERNADOR LUIZ ROCHA";7810
"210465 GOVERNADOR NEWTON BELLO";10180
"210467 GOVERNADOR NUNES FREIRE";25577
"210470 GRACA ARANHA";6262
"210480 GRAJAU";69427
"210490 GUIMARAES";12030
"210500 HUMBERTO DE CAMPOS";28717
"210510 ICATU";27113
"210515 IGARAPE DO MEIO";14177
"210520 IGARAPE GRANDE";11320
"210530 IMPERATRIZ";258682
"210535 ITAIPAVA DO GRAJAU";15847
"210540 ITAPECURU MIRIM";68203
"210542 ITINGA DO MARANHAO";26000
"210545 JATOBA";10153
"210547 JENIPAPO DOS VIEIRAS";16955
"210550 JOAO LISBOA";23804
"210560 JOSELANDIA";16168
"210565 JUNCO DO MARANHAO";4450
"210570 LAGO DA PEDRA";50266
